rank,importer,importer_id_new,total_import_usd
1,BUMCHUN PRECISION VINA,3711001900,3554936387.603288
2,SEVT,5712235647,2151110669.215601
3,FUKANG TECHNOLOGY COMPANY LIMITED,3511014752,2011163831.539801
4,BYD ELECTRONICS (VIETNAM) COMPANY LIMITED,3712176054,2006420779.687251
5,SAMSUNG ELECTRONICS VIETNAM COMPANY LIMITED,3411436875,1834377939.466031
6,TOKIN ELECTRONICS (VIETNAM) COMPANY LIMITED,3511912285,1476792220.827591
7,HANYANG DIGITECH VINA COMPANY LIMITED,3711001900,1385906801.901152
8,LGDVH,1312834751,1163745744.6358
9,FUYU PRECISION COMPONENT COMPANY LIMITED,3511980877,1137429701.4038
10,BROVAC TECHNOLOGY (VIETNAM) COMPANY LIMITED,4814321727,1119231855.886401
11,SATO VIETNAM CO LTD,3511981068,1098258106.077357
12,SEOJIN VIET NAM LIMITED COMPANY,3511960736,1094134137.423084
13,VIET NGHI TRADING SERVICE COMPANY LIMITED,3611399998,1003103885.813405
14,"WISTRON INFOCOMM (VIETNAM) CO., LTD",1811948090,968337122.9500636
15,BƯU ĐIỆN VIỆT NAM,1213606851,958233128.5614775
16,SAMSUNG ELECTRONICS VIETNAM THAI NGUYEN COMPANY LIMITED,5712235647,956801866.5767506
17,APPLE VIETNAM LLC,1424621938,902036108.9341953
18,VINSMART PRODUCTS AND RESEARCH JOINT STOCK COMPANY,3412192208,895308241.8949261
19,SEHC,1424166654,840792984.1003534
20,SDV,3411963110,720228977.2245449
21,"COMPAL (VIETNAM) CO., LTD.",3611399998,692357208.9520991
22,LUXSHARE - ICT ( VIETNAM ) LIMITED,3511912285,662948307.5334431
23,CROWN BEVERAGE CANS HANOI,1611343909,642496407.6030273
24,HOA PHAT DUNG QUAT STEEL. JSC,5411804972,635963564.4296099
25,VINFAST LLC,1218905527,616666960.548414
26,NEW WING INTERCONNECT TECHNOLOGY (BAC GIANG) CO.LTD,3511871134,566722605.730335
27,KIM QUOC STEEL COMPANY LIMITED,1419529415,551994965.7890625
28,LG DISPLAY VIETNAM HAIPHONG COMPANY LIMITED,1312834751,544327100.839361
29,TNG TU THANG MINH TCL CO LTD (VIETNAM),4813781805,511895092.0326612
30,PEGATRON VIETNAM COMPANY LIMITED,1313120481,504196105.2909259
31,APPLE VIETNAM LIMITED LIABILITY COMPANY,1424621938,494479328.2059069
32,SKYPEC,1211218749,489414350.5
33,JINKO SOLAR (VIETNAM) INDUSTRIES COMPANY LIMITED,6813191532,451441564.6152129
34,LUXSHARE - ICT (VAN TRUNG) COMPANY LIMITED,3511981068,438594309.3381432
35,"SAMSUNG DISPLAY VIETNAM CO., LTD.",3411963110,420351291.3740866
36,LGITVH,1312852292,410734115.9162811
37,GOERTEK TECHNOLOGY VINA COMPANY LIMITED,3412192208,386286917.1607782
38,CORETRONIC TECHNOLOGY (BRVT) COMPANY LIMITED,4613577542,383329469.88485
39,LG ELECTRONICS VIETNAM LTD COMPANY LIMITED,1312422408,360565727.3275768
40,HANA MICRON VINA COMPANY LIMITED,3511979995,346138115.9138854
41,"SAMSUNG ELECTRONICS HCMC CE COMPLEX CO., LTD",1424166654,343129002.80812
42,VUONG STEEL CO.LTD,1421683485,335406060.796875
43,FUSHAN TECHNOLOGY (VIETNAM),3411701998,307345403.0762041
44,GREEN PLANET DISTRIBUTION CENTRE JOINT STOCK COMPANY,1428188007,290902963.5545499
45,"LG ELECTRONICS VIETNAM HAI PHONG CO., LTD",1312422408,286919179.081409
46,PHUC LOI TRADING DEVELOPMENT SERVICES LIMITED LIABILITY COMP,1217999403,285018090.973358
47,ARCADYAN TECHNOLOGY CO LTD (VIETNAM),3611736594,281424546.6945863
48,DAI DUONG TRADE AND LOGISTICS SERVICES JOINT STOCK COMPANY,1218587402,271560154.5679557
49,LUXSHARE - ICT CO LTD (NGHE AN),3012004517,262949819.010092
50,VIETNAM POST,1213606851,259170592.6600257
51,THIEN HOANG ENGINEERING JOINT STOCK COMPANY,4012340049,255068453.6697149
52,SAILUN (VIETNAM) CO. LTD,4012175860,254410801.9398193
53,HOA PHAT DUNG QUAT STEEL JOINT STOCK COMPANY,5411804972,245758807.2452084
54,TECHTRONIC TOOLS (VIETNAM) COMPANY LIMITED,1427182706,239351199.2574619
55,GOERTEK ELECTRONICS VIETNAM COMPANY LIMITED,3412386240,231875459.7806263
56,RUNERGY PV TECHNOLOGY COMPANY LIMITED (VIETNAM),3013270064,230974542.6596048
57,JINTIAN COPPER INDUSTRIAL (VIETNAM) COMPANY LIMITED,2312657058,229690052.2590183
58,LG INNOTEK VIETNAM HAIPHONG COMPANY LIMITED,1312852292,227358662.8257393
59,SAKURAI VIETNAM COMPANY LIMITED,3912268928,227325608.2789035
60,"NEW WING INTERCONNECT TECHNOLOGY (BAC GIANG) CO.,LTD",3511871134,227308973.893122
61,TOP INTERCUBE ELECTRONICS VINA COMPANY LIMITED,3511484135,226255805.3891952
62,AVC TECHNOLOGY (VIETNAM) COMPANY LIMITED,1811954885,220338453.5841632
63,VIETNAM AIR PETROL COMPANY LIMITED (SKYPEC),1211218749,218508125
64,HAOHUA COMPANY LIMITED (VIETNAM),4912397474,218364888.854372
65,LEO ELECTRONICS (VIETNAM) LTD,1911467564,210562691.8249269
66,DIGITAL WORLD JOINT STOCK COMPANY,1413972853,210342427.2147899
67,"PRECISION TECHNOLOGY COMPONENT FULIAN CO., LTD",3511063238,205027303.6371739
68,VALUEPLUS VINA LIMITED COMPANY,3412219560,203173015.312393
69,SAMSUNG ELECTRONICS VIETNAM CO LTD THAI NGUYEN,1312025731,198162815.5648212
70,JABIL VIETNAM,1415016810,195845969.6629191
71,FUSHAN TECHNOLOGY (VIETNAM) LIMITED LIABILITY COMPANY,3411701998,194022549.986976
72,SEABIRD FINANCE - TRADING COMPANY LIMITED,1212228771,191643256.41264
73,"NEWEB VIETNAM CO., LTD.",1811948970,189061928.8243518
74,SDIV,3411620359,182727011.4194021
75,LTVN,3511927637,181400048.4808454
76,TCL SMART DEVICE (VIET NAM) COMPANY LIMITED,4813781805,180619425.641564
77,MS NGHE NGHIA CO LTD - LISTENING TO BOE (VIETNAM),4714793564,177430990.0817915
78,SONG MANG JOINT STOCK COMPANY,3511759414,177182420.5418631
79,FORD VN CO LTD,1911117993,176613566.6998256
80,HANA MICRON VINA CO LTD,3511979995,172349361.017609
81,FUHONG PRECISION COMPONENT(BAC GIANG) COMPANY LIMITED,3511484135,166954384.0263715
82,ISSUANCE AND TREASURE DEPARTMENT IN HCMC,1415947407,164447306
83,CS WIND VIETNAM CO.LTD,4611896984,164177210.9123292
84,"JINYU (VIET NAM) TIRE CO., LTD",4012305856,163070585.3799079
85,AUTEL VIETNAM COMPANY LIMITED,1312011721,159802136.5915865
86,JEIL COMPANY LIMITED - TECH VINA,1312031304,159341255.8682946
87,NAKISCO,4811588120,159264278.3748779
88,"MILLENNIUM FURNITURE CO., LTD",5411915080,156137409.8851973
89,VINFAST TRADING AND PRODUCTION JOINT STOCK COMPANY,1218905527,154173002.4953842
90,BRANCH OF TRANSPORTATION AND TRANSPORTATION JOINT STOCK COMPANY PRINTED BY TRAN,1412010284112,151915463.0353842
91,SHIOGAI SEIKI VIETNAM COMPANY LIMITED,3411308902,151624619.1471466
92,COMPANY LIMITED SOLUM VINA,3611673249,150346026.5442964
93,VIETNAM AAC TECHNOLOGIES CO LTD,3411897731,150262496.3423644
94,KIM LONG MOTORS HUE JOINT STOCK COMPANY,4412737972,149515675.5712239
95,"ASKEY VIETNAM TECHNOLOGY CO., LTD",3412342436,145096876.1888474
96,"V-G HIGH-TECH ENERGY SOLUTIONS CO., LTD",4113360234,144275083.3824749
97,HYOSUNG DONG NAI COMPANY LIMITED,4714388132,142161862.4043205
98,TECHTRONIC INDUSTRIES VIETNAM MANUFACTURING COMPANY LIMITED – BRANCH IN DAU GIAY INDUSTRIAL PARK,4813707455112,140086401.5917044
99,FPT DISTRIBUTION CO.LTD,1215375929,135006393.3207908
100,"KHVATEC HANOI CO., LTD.",5712614540,132368261.4934273
